train_start,train_end,test_start,test_end,lookback,profit_target,stop_loss,timeout_days,train_sharpe
2023-04-19,2024-04-18,2024-04-19,2024-07-19,20,0.08,0.04,10,1.806113490509285
2023-07-20,2024-07-19,2024-07-22,2024-10-17,30,0.05,0.05,15,1.7503428369480556
2023-10-18,2024-10-17,2024-10-18,2025-01-21,30,0.05,0.05,15,1.417492175595422
2024-01-19,2025-01-21,2025-01-22,2025-04-22,55,0.05,0.03,15,0.7546443444483362
2024-04-19,2025-04-22,2025-04-23,2025-07-23,30,0.05,0.04,10,0.14657171949040895
2024-07-22,2025-07-23,2025-07-24,2025-10-21,30,0.05,0.04,10,0.8484083162979849
2024-10-18,2025-10-21,2025-10-22,2026-01-22,10,0.05,0.04,15,1.1211712028267746
